psu,state,locality,latitude,longitude,pop
20563,1,5,21.7946343079655,31.3706417352759,4257
20721,1,7,19.6019569265926,30.4054084878148,10000
20805,1,4,18.1752021479,30.7360608884333,10000
20912,1,3,18.1972679982581,31.6050439410323,8400
20794,1,2,18.3591505837586,30.7341362199655,8000
1104104,1,1,19.0912151812121,30.4739934570606,8000
1104103,1,1,19.0956367893462,30.4746838306538,8000
20722,1,7,19.6508825903333,30.3921401426667,7200
1104108,1,1,19.1474017484138,30.4682602736552,7000
1104110,1,1,19.1627308046774,30.4764281769355,7000
1104112,1,1,19.1801871869375,30.4814929665,7000
20865.00,1,3,18.5926975250714,31.9472361887857,6000
20828.00,1,4,18.0097520255312,31.1625390155625,6000
20751.00,1,1,18.7955647938,30.5254944577,5500
20933.00,1,3,17.9951489305161,31.6446017339355,5400
20936.00,1,3,18.1321763071935,31.6804550316129,5000
1104116.00,1,1,19.2168525275,30.4458348921,5000
1104109.00,1,1,19.1613450088788,30.4658402850909,5000
20816.00,1,4,17.9446900312,31.1248878928333,4800
20793,1,2,18.4564691149667,30.7202248313333,4500
20797,1,4,17.9349696477097,31.1866119659355,4386
20582,1,5,20.79774781625,30.3490033744375,4228
20864,1,3,18.4887464579655,31.8008185725517,4000
20757,1,1,19.3463120853333,30.4432675625333,4000
1104111,1,1,6611.36841336353,30.4553023879,3500
1104113,1,1,19.2029180822069,30.4737829224138,3442
20717,1,7,19.6385432711667,30.4098173020417,3200
1104106,1,1,19.1308264565,30.4776724430833,3000
1104107,1,1,19.1415001371667,30.4686707676333,3000
20801,1,4,18.0227159780323,31.3382782934839,3000
1104114,1,1,19.173531699875,30.4462489423438,3000
1104105,1,1,19.1349451955,30.4720784980333,3000
20777,1,2,18.6341543635161,30.5785069223548,3000
20826,1,4,18.0185151216667,30.9871345611,3000
20736,1,1,19.4002371710345,30.5108195821724,2940
20716,1,7,19.6202061767333,30.4061747628333,2760
20720,1,7,19.6841848905556,30.4065640022963,2530
20733,1,1,19.2356644309677,30.4835251197097,2500
20754,1,1,18.9900349701667,30.4806944714583,2400
20820,1,4,18.0770475522667,30.9492540443667,2400
20752,1,1,19.1287498936154,30.5658211798462,2200
20747,1,1,19.3190308426429,30.5320978747857,2196
20706,1,7,19.5341725911935,30.4485136684516,2130
20702,1,7,19.5698200689655,30.4361133601034,2100
20791,1,2,18.324333033875,30.7133642375625,2000
20745,1,1,19.2013288416667,30.5532510604,1920
20704,1,7,19.4715962145882,30.4817742962941,1824
20796,1,4,18.0177309860968,31.3873033385484,1800
20814,1,4,18.1297008462581,30.7798412326774,1800
20769,1,2,18.5980493698571,30.5646826724571,1700
20773,1,2,18.4827817475484,30.6423848825484,1650
20786,1,2,18.5749719489687,30.5716271940625,1500
20782,1,2,18.5544016117037,30.6276529281481,1500
20569,1,5,20.6476169346667,30.2969404699091,1740
20943,1,3,18.3294767438621,31.7771583216552,1400
20699,1,7,19.5777895838667,30.492335088,1380
1104101,1,1,19.0547979184,30.4606938784333,1250
20710,1,7,19.4485803602963,30.4486698536296,1200
20700,1,7,19.4173951404571,30.4846166653714,1200
20584,1,5,20.8178551975152,30.349863276303,1200
20676,1,6,19.9263235387667,30.4167949282667,1200
20608,1,6,20.3564258140968,30.4967569040645,1440
20660,1,6,19.9266565504706,30.3213153497059,1296
20862,1,3,18.5534201807742,31.8410361188387,1000
20779,1,2,18.5527367133571,30.5961766656429,1000
20785,1,2,18.512503822,30.6287464755313,1000
20771,1,2,18.3653794028438,30.6915141871875,1000
20774,1,2,18.7284544974516,30.5292914825484,1000
20650,1,6,19.9582378719375,30.3528618965625,960
20895,1,3,18.1293762335385,31.5201311255769,900
20664,1,6,19.8080821758519,30.3123225748889,1380
20687,1,6,19.7812133527778,30.3345873422963,1050
20809,1,4,18.0365107814375,31.0737307569063,900
20811,1,4,18.0099463142667,31.2423184831667,2900
20780,1,2,18.2977010645758,30.6853940393333,898
20573,1,5,20.6686152125588,30.3376114329706,1070
20619,1,6,20.0343899915161,30.584646267871,980
20696,1,7,19.4940661606842,30.4337090893158,804
20714,1,7,19.6252724794333,30.4588782004333,800
20622,1,6,20.3594833755333,30.3746232659667,1404
20628,1,6,20.3425747013636,30.5118048784848,852
20802,1,4,18.2184692455806,30.7194869258065,700
20804,1,4,18.2330706239063,30.7196705114375,700
20718,1,7,19.6525196088214,30.4127725433214,700
20674,1,6,19.9438716244667,30.5519569215333,600
20908,1,3,18.2951056933333,31.6844129942667,600
20806,1,4,18.1405830979688,30.8615514700313,600
20776,1,2,18.6595693891481,30.5506792753333,600
20770,1,2,18.4396285089697,30.6776872965152,600
20620,1,6,20.4641519603793,30.3157224499655,576
20711,1,7,19.505405804125,30.4646432704062,1740
20633,1,6,20.27143936092,30.56925988656,522
20788,1,2,18.3824660443125,30.7177925499062,500
20623,1,6,20.163480121125,30.5469877265937,504
20575,1,5,20.7507324785313,30.3200950970625,420
20551,1,5,20.9747548769444,30.5637841497778,405
1104102,1,3,19.078851537037,30.4741577975926,400
20568,1,5,20.5535900654242,30.2911944703939,756
20564,1,5,20.4881129381,30.33089079995,360
20697,1,7,19.4938062502069,30.424183029931,350
20570,1,5,20.6290731632778,30.3145910496667,322
20565,1,5,20.5255142965909,30.331548901,308
20598,1,5,20.848095174,30.557927655129,410
20873,1,3,18.5621195204074,31.9757798237407,1300
20679,1,6,19.8953046499,30.3536360878667,540
20693,1,7,19.5322084780303,30.4079671783636,2770
1104115,1,1,19.1524819000323,30.4512345950968,242
20549,1,5,21.2698737256667,30.7830919566,240
20653,1,6,20.1086330618667,30.5445992753667,402
20557,1,5,21.0754738849032,30.7040622549677,354
20578,1,5,20.8198732905769,30.4616393033846,653
20567,1,5,20.5615871154516,30.307391399,194
20662,1,6,19.8329001950455,30.2967270617273,282
20669,1,6,19.7453887833824,30.3573949680588,450
20880,1,3,18.39580836325,32.044240012875,100
20585,1,5,20.7247858015,30.304185149,96
20594,1,5,20.6220942054375,30.2890030916875,90
20556,1,5,21.018005019,30.57385641025,78
20590,1,5,20.5869087066667,30.28223134,18
4204208,10,81,13.179743071,32.7733821168182,8595
19826,10,82,12.3284356162424,33.071077797,3621
19763,10,82,13.02282807625,32.920823409,1968
18954,10,84,14.3892396367667,32.0967229885667,8000
4207117,10,77,13.1816272859167,32.6352482512778,8000
4204203,10,81,13.1703541605,32.7440724290937,7330
19611,10,83,13.9692052472286,32.3069327589143,3000
19629,10,83,13.7319142396765,32.3009507222647,6804
4204209,10,81,13.1939429980667,32.7174374845333,5182
19342,10,80,11.9519440195484,32.1086838305806,5000
19504,10,83,14.2155720066111,32.1945729930556,5000
19185,10,85,14.6388937775455,32.1974655835758,4607
4204215,10,81,13.2080758695,32.7567054476875,4341
4204212,10,81,13.1925676051176,32.7619122087059,4237
19802,10,82,12.9780202295429,32.8320161771714,2952
18303,10,77,13.0613912646176,32.6830681422647,4000
19750,10,82,13.0810798080294,32.8760337790294,4000
19755,10,82,13.1311526113125,32.972227610125,4000
4207110,10,77,13.1410730669697,32.6516877073333,4000
19740,10,82,12.9584269004848,33.0143334156364,1809
19271,10,85,14.0724152065455,32.4113310657576,4140
4207101,10,77,13.12870830925,32.6441861735938,3700
4204206,10,81,13.1807680485,32.7392127794333,3685
19830,10,82,12.415182856,32.8201833892647,3500
4207103,10,77,13.1019151159706,32.6993085720294,3500
4207109,10,77,13.1442213322121,32.6347968320909,3500
4207113,10,77,13.1667420947353,32.6303627899412,3500
4204202,10,81,13.1688112914857,32.735389522,3215
4207115,10,77,13.1594462109697,32.666656045697,3000
4207114,10,77,13.1595793583667,32.6418503735,3000
4207111,10,77,13.143719186129,32.6784634153871,5000
19742,10,82,13.0276136230625,33.0864321513438,3000
19135,10,85,14.2299996871818,32.3215979892121,2999
4207106,10,77,13.1249176503939,32.7029238181515,2987
4204213,10,81,13.2081399465161,32.7260562339032,2809
19062,10,85,14.8877793722941,32.388778275,2800
19159,10,85,14.442342358697,32.3024564673636,2863
19807,10,82,12.53032010275,33.0721695749687,2700
18485,10,81,13.2294042802188,32.7122622260625,2652
18539,10,81,13.2123782128108,32.6510128252703,2617
19792,10,82,12.8389382737143,32.8097774040857,2500
19781,10,82,12.7408306259394,32.8237219899091,2500
19274,10,85,14.0786964340303,32.4868226155758,2500
19300,10,85,13.7409745646765,32.5002489057647,2220
4204210,10,81,13.1926801877097,32.7373511351613,2141
4204214,10,81,13.2085783502258,32.7447143491936,2035
4207104,10,77,13.1215879091176,32.6336025505588,2000
18395,10,78,13.2496082258788,32.3149302946364,2000
19365,10,80,12.4050789338529,32.5301072438824,2000
19821,10,82,12.2710037567812,32.7659574189375,2000
4207112,10,77,13.138049240069,32.6993816070345,2000
19724,10,83,13.7525682793333,32.0823067953939,1974
19431,10,83,13.9659163613824,32.2356287466471,1874
19771,10,82,12.571864720697,32.8824181084848,1750
19697,10,83,13.5593157240294,32.018505554,1730
19614,10,83,14.0361358443333,32.2954393415151,1725
19169,10,85,14.5653861838276,32.2113447952069,1706
18359,10,78,13.1591982111515,32.3489806782424,1644
18264,10,80,12.7703715047778,32.4950222647222,1600
18412,10,78,13.3132237120303,32.5300683435152,1506
4207108,10,77,13.143755692625,32.6221799195,1500
19035,10,84,14.5441188522143,31.8302129079286,1500
19251,10,85,13.8830797198824,32.3781800245882,1500
4204207,10,81,13.1791008686071,32.7574282601071,1451
19074,10,85,15.0667229460968,32.4876533296452,1400
18995,10,84,14.5499448073103,32.1435032387241,1322
19513,10,83,14.2310546275882,32.0291983952059,13313
18361,10,78,13.1659334625625,32.54845524625,1302
18969,10,84,14.462054721,32.1316732201818,1300
4207105,10,77,13.1178385639375,32.6672420547812,1286
19665,10,83,13.8838544021875,32.29020098725,1250
19776,10,82,12.639946055,32.8089750649697,1450
19320,10,80,12.55896168525,32.7678781471563,1200
18388,10,78,13.2331739416875,32.382763593125,1122
18389,10,78,13.2359891067273,32.2128834724242,1074
18512,10,81,13.5306842902424,32.9268686226061,1056
18428,10,78,13.3805771049688,32.2914159604687,1026
18554,10,81,13.3088483307059,32.6202581769118,1004
18306,10,77,13.0937384836364,32.7693420638182,1000
19003,10,84,14.7081604284063,32.1315335872812,1000
19120,10,84,15.027337832,32.3529473679667,1000
19014,10,84,14.8713557904242,32.2231834010606,1000
19394,10,80,12.9168746373125,32.458215393625,1400
18830,10,79,12.728146128129,31.9186495910968,1000
18791,10,79,13.5504962785143,32.2152782438,1000
4204205,10,81,13.1816709125588,32.7264991227941,976
4204211,10,81,13.195437012,32.7485980605185,963
18386,10,78,13.2200320237429,32.5699220393429,955
18260,10,80,12.7473937183158,32.6724583193158,900
18837,10,79,12.7612566232581,31.7447568110645,1505
18667,10,79,13.0044827400833,31.8725586022083,1900
19007,10,84,14.7754831454706,32.1493110435882,900
4204201,10,81,13.1784911800323,32.7173177156129,892
18337,10,78,13.0896555784848,32.3184846996364,820
18497,10,81,13.3957787879697,32.6836627619091,812
18798,10,79,12.5836596284,31.6743406469,800
18849,10,79,12.7795985358148,32.2784175562222,296
18775,10,79,13.4083342616176,32.0887627228529,1378
19301,10,85,13.5926845710882,32.6170438424706,700
18708,10,79,13.0519431162308,32.0803591266538,272
19011,10,84,14.8306443253913,32.193037973,700
18806,10,79,12.6436273293667,31.7954087142333,452
19028,10,84,14.4860100798333,31.6290241040833,700
19334,10,80,12.0650861177647,32.7296822093824,700
18355,10,78,13.1519492721562,32.4580059359375,684
19198,10,85,14.7516349312353,32.3008914743529,650
4207102,10,77,13.1031320008788,32.686775357697,645
19372,10,80,12.5302314500294,32.0501787879412,600
18987,10,84,14.6078224755,32.0766663170938,600
19020,10,84,14.8625760583871,32.0870808857419,600
19312,10,80,12.3944638328889,32.6973447960556,600
18360,10,78,13.1616542645484,32.2727851229032,595
19500,10,83,14.2230110616667,31.8654606066,773
19782,10,82,12.7650237867419,32.8825077081613,700
4207116,10,77,13.1519558276364,32.6901205005151,500
19393,10,80,12.9050375043437,32.3818967743125,500
18958,10,84,14.4290603208125,32.0432010545,500
19026,10,84,14.5119068244138,31.9714256922069,500
18903,10,79,12.9079530895333,31.8295685228333,700
19190,10,85,14.6525781433333,32.2751025185758,670
18331,10,78,13.0819276685294,32.4956549135882,3500
18920,10,79,12.9193994186857,32.1656339239429,800
18991,10,84,14.6671206279412,32.1011369226471,500
19025,10,84,14.7828626360526,31.9839322099474,500
19575,10,83,14.1371036664706,32.2304402867059,500
18332,10,78,13.076146718303,32.3849583429091,500
18724,10,79,13.0753782065625,31.9312244156875,500
18655,10,79,13.0009325575758,31.7639082154849,1350
18441,10,78,13.4524988496129,32.4724097997097,422
18580,10,81,13.137809503697,32.7654027525455,418
18907,10,79,12.9011547499355,32.0100413259355,700
19203,10,85,14.6886601563667,32.2398176664667,400
19252,10,85,13.8880841183125,32.568977428625,400
18645,10,81,13.2191221988065,32.7792263100645,371
4204204,10,81,13.1634755639697,32.7655267365758,362
18514,10,81,13.5529515491471,32.7475252865294,337
18433,10,78,13.4447073283824,32.5863083942941,520
18277,10,77,12.92296215,32.5925972027187,300
18275,10,77,12.9028920909118,32.7471302102059,1800
18461,10,78,13.5630452402812,32.3545276926875,300
19331,10,80,12.0327725484688,32.7147128327813,300
18749,10,79,13.1996237458387,32.0306185987097,1300
4204216,10,81,13.2068244092258,32.7744225745806,251
19457,10,83,14.0618963008788,32.1088787123939,250
19547,10,83,14.3007345592647,31.6798992902059,225
19569,10,83,14.38377614875,31.7475573020833,204
